Seq. ID.	Class	AMP Probability
LENGTH_50_SEQ_937	NAMP	0.03
LENGTH_50_SEQ_938	NAMP	0.02
LENGTH_50_SEQ_939	NAMP	0.04
LENGTH_50_SEQ_940	NAMP	0.02
LENGTH_50_SEQ_941	NAMP	0.02
LENGTH_50_SEQ_942	NAMP	0.03
LENGTH_50_SEQ_943	NAMP	0.04
LENGTH_50_SEQ_944	NAMP	0.02
LENGTH_50_SEQ_945	NAMP	0.01
LENGTH_50_SEQ_946	NAMP	0.02
LENGTH_50_SEQ_947	NAMP	0.04
LENGTH_50_SEQ_948	NAMP	0.02
LENGTH_50_SEQ_949	NAMP	0.03
LENGTH_50_SEQ_950	NAMP	0.07
LENGTH_50_SEQ_951	NAMP	0.04
LENGTH_50_SEQ_952	NAMP	0.02
LENGTH_50_SEQ_953	NAMP	0.02
LENGTH_50_SEQ_954	NAMP	0.17
LENGTH_50_SEQ_955	NAMP	0.05
LENGTH_50_SEQ_956	NAMP	0.04
LENGTH_50_SEQ_957	NAMP	0.08
LENGTH_50_SEQ_958	NAMP	0.02
LENGTH_50_SEQ_959	NAMP	0.09
LENGTH_50_SEQ_960	NAMP	0.03
LENGTH_50_SEQ_961	NAMP	0.02
LENGTH_50_SEQ_962	NAMP	0.02
LENGTH_50_SEQ_963	NAMP	0.04
LENGTH_50_SEQ_964	NAMP	0.06
LENGTH_50_SEQ_965	NAMP	0.12
LENGTH_50_SEQ_966	NAMP	0.02
LENGTH_50_SEQ_967	NAMP	0.07
LENGTH_50_SEQ_968	NAMP	0.02
LENGTH_50_SEQ_969	NAMP	0.03
LENGTH_50_SEQ_970	NAMP	0.06
LENGTH_50_SEQ_971	NAMP	0.03
LENGTH_50_SEQ_972	NAMP	0.04
LENGTH_50_SEQ_973	NAMP	0.06
LENGTH_50_SEQ_974	NAMP	0.03
LENGTH_50_SEQ_975	NAMP	0.05
LENGTH_50_SEQ_976	NAMP	0.03
LENGTH_50_SEQ_977	NAMP	0.01
LENGTH_50_SEQ_978	NAMP	0.02
LENGTH_50_SEQ_979	NAMP	0.03
LENGTH_50_SEQ_980	NAMP	0.04
LENGTH_50_SEQ_981	NAMP	0.04
LENGTH_50_SEQ_982	NAMP	0.02
LENGTH_50_SEQ_983	NAMP	0.02
LENGTH_50_SEQ_984	NAMP	0.06
LENGTH_50_SEQ_985	NAMP	0.06
LENGTH_50_SEQ_986	NAMP	0.05
LENGTH_50_SEQ_987	NAMP	0.05
LENGTH_50_SEQ_988	NAMP	0.07
LENGTH_50_SEQ_989	NAMP	0.04
LENGTH_50_SEQ_990	NAMP	0.10
LENGTH_50_SEQ_991	NAMP	0.03
LENGTH_50_SEQ_992	NAMP	0.02
LENGTH_50_SEQ_993	NAMP	0.03
LENGTH_50_SEQ_994	NAMP	0.03
LENGTH_50_SEQ_995	NAMP	0.04
LENGTH_50_SEQ_996	NAMP	0.07
LENGTH_50_SEQ_997	NAMP	0.04
LENGTH_50_SEQ_998	NAMP	0.04
LENGTH_50_SEQ_999	NAMP	0.07
LENGTH_50_SEQ_1000	NAMP	0.04
LENGTH_55_SEQ_1	NAMP	0.12
LENGTH_55_SEQ_2	NAMP	0.02
LENGTH_55_SEQ_3	NAMP	0.04
LENGTH_55_SEQ_4	NAMP	0.04
LENGTH_55_SEQ_5	NAMP	0.10
LENGTH_55_SEQ_6	NAMP	0.02
LENGTH_55_SEQ_7	NAMP	0.04
LENGTH_55_SEQ_8	NAMP	0.05
LENGTH_55_SEQ_9	NAMP	0.05
LENGTH_55_SEQ_10	NAMP	0.01
LENGTH_55_SEQ_11	NAMP	0.03
LENGTH_55_SEQ_12	NAMP	0.02
LENGTH_55_SEQ_13	NAMP	0.03
LENGTH_55_SEQ_14	NAMP	0.02
LENGTH_55_SEQ_15	NAMP	0.02
LENGTH_55_SEQ_16	NAMP	0.02
LENGTH_55_SEQ_17	NAMP	0.04
LENGTH_55_SEQ_18	NAMP	0.04
LENGTH_55_SEQ_19	NAMP	0.03
LENGTH_55_SEQ_20	NAMP	0.03
LENGTH_55_SEQ_21	NAMP	0.03
LENGTH_55_SEQ_22	NAMP	0.15
LENGTH_55_SEQ_23	NAMP	0.03
LENGTH_55_SEQ_24	NAMP	0.01
LENGTH_55_SEQ_25	NAMP	0.01
LENGTH_55_SEQ_26	NAMP	0.05
LENGTH_55_SEQ_27	NAMP	0.02
LENGTH_55_SEQ_28	NAMP	0.07
LENGTH_55_SEQ_29	NAMP	0.01
LENGTH_55_SEQ_30	NAMP	0.02
LENGTH_55_SEQ_31	NAMP	0.03
LENGTH_55_SEQ_32	NAMP	0.07
LENGTH_55_SEQ_33	NAMP	0.05
LENGTH_55_SEQ_34	NAMP	0.03
LENGTH_55_SEQ_35	NAMP	0.09
LENGTH_55_SEQ_36	NAMP	0.04
LENGTH_55_SEQ_37	NAMP	0.06
LENGTH_55_SEQ_38	NAMP	0.05
LENGTH_55_SEQ_39	NAMP	0.02
LENGTH_55_SEQ_40	NAMP	0.01
LENGTH_55_SEQ_41	NAMP	0.06
LENGTH_55_SEQ_42	NAMP	0.05
LENGTH_55_SEQ_43	NAMP	0.03
LENGTH_55_SEQ_44	NAMP	0.05
LENGTH_55_SEQ_45	NAMP	0.01
LENGTH_55_SEQ_46	NAMP	0.07
LENGTH_55_SEQ_47	NAMP	0.01
LENGTH_55_SEQ_48	NAMP	0.03
LENGTH_55_SEQ_49	NAMP	0.03
LENGTH_55_SEQ_50	NAMP	0.02
LENGTH_55_SEQ_51	NAMP	0.04
LENGTH_55_SEQ_52	NAMP	0.03
LENGTH_55_SEQ_53	NAMP	0.02
LENGTH_55_SEQ_54	NAMP	0.02
LENGTH_55_SEQ_55	NAMP	0.07
LENGTH_55_SEQ_56	NAMP	0.03
LENGTH_55_SEQ_57	NAMP	0.03
LENGTH_55_SEQ_58	NAMP	0.04
LENGTH_55_SEQ_59	NAMP	0.03
LENGTH_55_SEQ_60	NAMP	0.05
LENGTH_55_SEQ_61	NAMP	0.02
LENGTH_55_SEQ_62	NAMP	0.03
LENGTH_55_SEQ_63	NAMP	0.10
LENGTH_55_SEQ_64	NAMP	0.03
LENGTH_55_SEQ_65	NAMP	0.32
LENGTH_55_SEQ_66	NAMP	0.03
LENGTH_55_SEQ_67	NAMP	0.03
LENGTH_55_SEQ_68	NAMP	0.04
LENGTH_55_SEQ_69	NAMP	0.04
LENGTH_55_SEQ_70	NAMP	0.06
LENGTH_55_SEQ_71	NAMP	0.02
LENGTH_55_SEQ_72	NAMP	0.14
LENGTH_55_SEQ_73	NAMP	0.03
LENGTH_55_SEQ_74	NAMP	0.03
LENGTH_55_SEQ_75	NAMP	0.02
LENGTH_55_SEQ_76	NAMP	0.04
LENGTH_55_SEQ_77	NAMP	0.03
LENGTH_55_SEQ_78	NAMP	0.04
LENGTH_55_SEQ_79	NAMP	0.05
LENGTH_55_SEQ_80	NAMP	0.22
LENGTH_55_SEQ_81	NAMP	0.09
LENGTH_55_SEQ_82	NAMP	0.02
LENGTH_55_SEQ_83	NAMP	0.06
LENGTH_55_SEQ_84	NAMP	0.01
LENGTH_55_SEQ_85	NAMP	0.02
LENGTH_55_SEQ_86	NAMP	0.02
LENGTH_55_SEQ_87	NAMP	0.02
LENGTH_55_SEQ_88	NAMP	0.03
LENGTH_55_SEQ_89	NAMP	0.04
LENGTH_55_SEQ_90	NAMP	0.04
LENGTH_55_SEQ_91	NAMP	0.07
LENGTH_55_SEQ_92	NAMP	0.07
LENGTH_55_SEQ_93	NAMP	0.04
LENGTH_55_SEQ_94	NAMP	0.04
LENGTH_55_SEQ_95	NAMP	0.02
LENGTH_55_SEQ_96	NAMP	0.03
LENGTH_55_SEQ_97	NAMP	0.04
LENGTH_55_SEQ_98	NAMP	0.06
LENGTH_55_SEQ_99	NAMP	0.12
LENGTH_55_SEQ_100	NAMP	0.03
LENGTH_55_SEQ_101	NAMP	0.03
LENGTH_55_SEQ_102	NAMP	0.02
LENGTH_55_SEQ_103	NAMP	0.05
LENGTH_55_SEQ_104	NAMP	0.02
LENGTH_55_SEQ_105	NAMP	0.04
LENGTH_55_SEQ_106	NAMP	0.07
LENGTH_55_SEQ_107	NAMP	0.14
LENGTH_55_SEQ_108	NAMP	0.03
LENGTH_55_SEQ_109	NAMP	0.05
LENGTH_55_SEQ_110	NAMP	0.02
LENGTH_55_SEQ_111	NAMP	0.06
LENGTH_55_SEQ_112	NAMP	0.01
LENGTH_55_SEQ_113	NAMP	0.04
LENGTH_55_SEQ_114	NAMP	0.03
LENGTH_55_SEQ_115	NAMP	0.04
LENGTH_55_SEQ_116	NAMP	0.02
LENGTH_55_SEQ_117	NAMP	0.04
LENGTH_55_SEQ_118	NAMP	0.03
LENGTH_55_SEQ_119	NAMP	0.05
LENGTH_55_SEQ_120	NAMP	0.01
LENGTH_55_SEQ_121	NAMP	0.05
LENGTH_55_SEQ_122	NAMP	0.01
LENGTH_55_SEQ_123	NAMP	0.03
LENGTH_55_SEQ_124	NAMP	0.05
LENGTH_55_SEQ_125	NAMP	0.04
LENGTH_55_SEQ_126	NAMP	0.01
LENGTH_55_SEQ_127	NAMP	0.02
LENGTH_55_SEQ_128	NAMP	0.04
LENGTH_55_SEQ_129	NAMP	0.03
LENGTH_55_SEQ_130	NAMP	0.03
LENGTH_55_SEQ_131	NAMP	0.02
LENGTH_55_SEQ_132	NAMP	0.04
LENGTH_55_SEQ_133	NAMP	0.03
LENGTH_55_SEQ_134	NAMP	0.03
LENGTH_55_SEQ_135	NAMP	0.18
LENGTH_55_SEQ_136	NAMP	0.02
LENGTH_55_SEQ_137	NAMP	0.05
LENGTH_55_SEQ_138	NAMP	0.02
LENGTH_55_SEQ_139	NAMP	0.04
LENGTH_55_SEQ_140	NAMP	0.09
LENGTH_55_SEQ_141	NAMP	0.01
LENGTH_55_SEQ_142	NAMP	0.02
LENGTH_55_SEQ_143	NAMP	0.03
LENGTH_55_SEQ_144	NAMP	0.02
LENGTH_55_SEQ_145	NAMP	0.06
LENGTH_55_SEQ_146	NAMP	0.07
LENGTH_55_SEQ_147	NAMP	0.03
LENGTH_55_SEQ_148	NAMP	0.03
LENGTH_55_SEQ_149	NAMP	0.09
LENGTH_55_SEQ_150	NAMP	0.02
LENGTH_55_SEQ_151	NAMP	0.04
LENGTH_55_SEQ_152	NAMP	0.06
LENGTH_55_SEQ_153	NAMP	0.10
LENGTH_55_SEQ_154	NAMP	0.01
LENGTH_55_SEQ_155	NAMP	0.06
LENGTH_55_SEQ_156	NAMP	0.02
LENGTH_55_SEQ_157	NAMP	0.04
LENGTH_55_SEQ_158	NAMP	0.02
LENGTH_55_SEQ_159	NAMP	0.02
LENGTH_55_SEQ_160	NAMP	0.03
LENGTH_55_SEQ_161	NAMP	0.02
LENGTH_55_SEQ_162	NAMP	0.02
LENGTH_55_SEQ_163	NAMP	0.02
LENGTH_55_SEQ_164	NAMP	0.03
LENGTH_55_SEQ_165	NAMP	0.03
LENGTH_55_SEQ_166	NAMP	0.04
LENGTH_55_SEQ_167	NAMP	0.03
LENGTH_55_SEQ_168	NAMP	0.03
LENGTH_55_SEQ_169	NAMP	0.10
LENGTH_55_SEQ_170	NAMP	0.06
LENGTH_55_SEQ_171	NAMP	0.02
LENGTH_55_SEQ_172	NAMP	0.03
LENGTH_55_SEQ_173	NAMP	0.22
LENGTH_55_SEQ_174	NAMP	0.06
LENGTH_55_SEQ_175	NAMP	0.03
LENGTH_55_SEQ_176	NAMP	0.02
LENGTH_55_SEQ_177	NAMP	0.05
LENGTH_55_SEQ_178	NAMP	0.04
LENGTH_55_SEQ_179	NAMP	0.02
LENGTH_55_SEQ_180	NAMP	0.03
LENGTH_55_SEQ_181	NAMP	0.02
LENGTH_55_SEQ_182	NAMP	0.07
LENGTH_55_SEQ_183	NAMP	0.03
LENGTH_55_SEQ_184	NAMP	0.02
LENGTH_55_SEQ_185	NAMP	0.07
LENGTH_55_SEQ_186	NAMP	0.05
LENGTH_55_SEQ_187	NAMP	0.13
LENGTH_55_SEQ_188	NAMP	0.04
LENGTH_55_SEQ_189	NAMP	0.03
LENGTH_55_SEQ_190	NAMP	0.06
LENGTH_55_SEQ_191	NAMP	0.02
LENGTH_55_SEQ_192	NAMP	0.02
LENGTH_55_SEQ_193	NAMP	0.11
LENGTH_55_SEQ_194	NAMP	0.04
LENGTH_55_SEQ_195	NAMP	0.04
LENGTH_55_SEQ_196	NAMP	0.04
LENGTH_55_SEQ_197	NAMP	0.04
LENGTH_55_SEQ_198	NAMP	0.08
LENGTH_55_SEQ_199	NAMP	0.03
LENGTH_55_SEQ_200	NAMP	0.04
LENGTH_55_SEQ_201	NAMP	0.02
LENGTH_55_SEQ_202	NAMP	0.02
LENGTH_55_SEQ_203	NAMP	0.02
LENGTH_55_SEQ_204	NAMP	0.03
LENGTH_55_SEQ_205	NAMP	0.03
LENGTH_55_SEQ_206	NAMP	0.03
LENGTH_55_SEQ_207	NAMP	0.02
LENGTH_55_SEQ_208	NAMP	0.02
LENGTH_55_SEQ_209	NAMP	0.03
LENGTH_55_SEQ_210	NAMP	0.05
LENGTH_55_SEQ_211	NAMP	0.10
LENGTH_55_SEQ_212	NAMP	0.04
LENGTH_55_SEQ_213	NAMP	0.02
LENGTH_55_SEQ_214	NAMP	0.04
LENGTH_55_SEQ_215	NAMP	0.02
LENGTH_55_SEQ_216	NAMP	0.06
LENGTH_55_SEQ_217	NAMP	0.05
LENGTH_55_SEQ_218	NAMP	0.03
LENGTH_55_SEQ_219	NAMP	0.03
LENGTH_55_SEQ_220	NAMP	0.07
LENGTH_55_SEQ_221	NAMP	0.03
LENGTH_55_SEQ_222	NAMP	0.02
LENGTH_55_SEQ_223	NAMP	0.04
LENGTH_55_SEQ_224	NAMP	0.04
LENGTH_55_SEQ_225	NAMP	0.08
LENGTH_55_SEQ_226	NAMP	0.02
LENGTH_55_SEQ_227	NAMP	0.03
LENGTH_55_SEQ_228	NAMP	0.02
LENGTH_55_SEQ_229	NAMP	0.03
LENGTH_55_SEQ_230	NAMP	0.15
LENGTH_55_SEQ_231	NAMP	0.03
LENGTH_55_SEQ_232	NAMP	0.05
LENGTH_55_SEQ_233	NAMP	0.02
LENGTH_55_SEQ_234	NAMP	0.02
LENGTH_55_SEQ_235	NAMP	0.03
LENGTH_55_SEQ_236	NAMP	0.03
LENGTH_55_SEQ_237	NAMP	0.02
LENGTH_55_SEQ_238	NAMP	0.02
LENGTH_55_SEQ_239	NAMP	0.02
LENGTH_55_SEQ_240	NAMP	0.06
LENGTH_55_SEQ_241	NAMP	0.04
LENGTH_55_SEQ_242	NAMP	0.03
LENGTH_55_SEQ_243	NAMP	0.02
LENGTH_55_SEQ_244	NAMP	0.05
LENGTH_55_SEQ_245	NAMP	0.03
LENGTH_55_SEQ_246	NAMP	0.02
LENGTH_55_SEQ_247	NAMP	0.07
LENGTH_55_SEQ_248	NAMP	0.17
LENGTH_55_SEQ_249	NAMP	0.03
LENGTH_55_SEQ_250	NAMP	0.03
LENGTH_55_SEQ_251	NAMP	0.08
LENGTH_55_SEQ_252	NAMP	0.03
LENGTH_55_SEQ_253	NAMP	0.05
LENGTH_55_SEQ_254	NAMP	0.05
LENGTH_55_SEQ_255	NAMP	0.05
LENGTH_55_SEQ_256	NAMP	0.03
LENGTH_55_SEQ_257	NAMP	0.02
LENGTH_55_SEQ_258	NAMP	0.04
LENGTH_55_SEQ_259	NAMP	0.07
LENGTH_55_SEQ_260	NAMP	0.06
LENGTH_55_SEQ_261	NAMP	0.05
LENGTH_55_SEQ_262	NAMP	0.02
LENGTH_55_SEQ_263	NAMP	0.02
LENGTH_55_SEQ_264	NAMP	0.05
LENGTH_55_SEQ_265	NAMP	0.02
LENGTH_55_SEQ_266	NAMP	0.04
LENGTH_55_SEQ_267	NAMP	0.07
LENGTH_55_SEQ_268	NAMP	0.04
LENGTH_55_SEQ_269	NAMP	0.05
LENGTH_55_SEQ_270	NAMP	0.02
LENGTH_55_SEQ_271	NAMP	0.05
LENGTH_55_SEQ_272	NAMP	0.01
LENGTH_55_SEQ_273	NAMP	0.08
LENGTH_55_SEQ_274	NAMP	0.05
LENGTH_55_SEQ_275	NAMP	0.03
LENGTH_55_SEQ_276	NAMP	0.03
LENGTH_55_SEQ_277	NAMP	0.07
LENGTH_55_SEQ_278	NAMP	0.07
LENGTH_55_SEQ_279	NAMP	0.03
LENGTH_55_SEQ_280	NAMP	0.09
LENGTH_55_SEQ_281	NAMP	0.04
LENGTH_55_SEQ_282	NAMP	0.02
LENGTH_55_SEQ_283	NAMP	0.05
LENGTH_55_SEQ_284	NAMP	0.04
LENGTH_55_SEQ_285	NAMP	0.47
LENGTH_55_SEQ_286	NAMP	0.02
LENGTH_55_SEQ_287	NAMP	0.03
LENGTH_55_SEQ_288	NAMP	0.05
LENGTH_55_SEQ_289	NAMP	0.02
LENGTH_55_SEQ_290	NAMP	0.03
LENGTH_55_SEQ_291	NAMP	0.02
LENGTH_55_SEQ_292	NAMP	0.04
LENGTH_55_SEQ_293	NAMP	0.08
LENGTH_55_SEQ_294	NAMP	0.03
LENGTH_55_SEQ_295	NAMP	0.05
LENGTH_55_SEQ_296	NAMP	0.03
LENGTH_55_SEQ_297	NAMP	0.06
LENGTH_55_SEQ_298	NAMP	0.02
LENGTH_55_SEQ_299	NAMP	0.03
LENGTH_55_SEQ_300	NAMP	0.03
LENGTH_55_SEQ_301	NAMP	0.02
LENGTH_55_SEQ_302	NAMP	0.02
LENGTH_55_SEQ_303	NAMP	0.10
LENGTH_55_SEQ_304	NAMP	0.05
LENGTH_55_SEQ_305	NAMP	0.12
LENGTH_55_SEQ_306	NAMP	0.03
LENGTH_55_SEQ_307	NAMP	0.05
LENGTH_55_SEQ_308	NAMP	0.08
LENGTH_55_SEQ_309	NAMP	0.03
LENGTH_55_SEQ_310	NAMP	0.10
LENGTH_55_SEQ_311	NAMP	0.02
LENGTH_55_SEQ_312	NAMP	0.05
LENGTH_55_SEQ_313	NAMP	0.04
LENGTH_55_SEQ_314	NAMP	0.05
LENGTH_55_SEQ_315	NAMP	0.11
LENGTH_55_SEQ_316	NAMP	0.02
LENGTH_55_SEQ_317	NAMP	0.02
LENGTH_55_SEQ_318	NAMP	0.02
LENGTH_55_SEQ_319	NAMP	0.11
LENGTH_55_SEQ_320	NAMP	0.03
LENGTH_55_SEQ_321	NAMP	0.03
LENGTH_55_SEQ_322	NAMP	0.04
LENGTH_55_SEQ_323	NAMP	0.08
LENGTH_55_SEQ_324	NAMP	0.02
LENGTH_55_SEQ_325	NAMP	0.03
LENGTH_55_SEQ_326	NAMP	0.04
LENGTH_55_SEQ_327	NAMP	0.04
LENGTH_55_SEQ_328	NAMP	0.03
LENGTH_55_SEQ_329	NAMP	0.04
LENGTH_55_SEQ_330	NAMP	0.03
LENGTH_55_SEQ_331	NAMP	0.05
LENGTH_55_SEQ_332	NAMP	0.02
LENGTH_55_SEQ_333	NAMP	0.05
LENGTH_55_SEQ_334	NAMP	0.16
LENGTH_55_SEQ_335	NAMP	0.01
LENGTH_55_SEQ_336	NAMP	0.06
LENGTH_55_SEQ_337	NAMP	0.10
LENGTH_55_SEQ_338	NAMP	0.05
LENGTH_55_SEQ_339	NAMP	0.02
LENGTH_55_SEQ_340	NAMP	0.05
LENGTH_55_SEQ_341	NAMP	0.04
LENGTH_55_SEQ_342	NAMP	0.05
LENGTH_55_SEQ_343	NAMP	0.22
LENGTH_55_SEQ_344	NAMP	0.06
LENGTH_55_SEQ_345	NAMP	0.08
LENGTH_55_SEQ_346	NAMP	0.05
LENGTH_55_SEQ_347	NAMP	0.09
LENGTH_55_SEQ_348	NAMP	0.02
LENGTH_55_SEQ_349	NAMP	0.03
LENGTH_55_SEQ_350	NAMP	0.09
LENGTH_55_SEQ_351	NAMP	0.06
LENGTH_55_SEQ_352	NAMP	0.05
LENGTH_55_SEQ_353	NAMP	0.12
LENGTH_55_SEQ_354	NAMP	0.05
LENGTH_55_SEQ_355	NAMP	0.05
LENGTH_55_SEQ_356	NAMP	0.05
LENGTH_55_SEQ_357	NAMP	0.03
LENGTH_55_SEQ_358	NAMP	0.02
LENGTH_55_SEQ_359	NAMP	0.06
LENGTH_55_SEQ_360	NAMP	0.02
LENGTH_55_SEQ_361	NAMP	0.02
LENGTH_55_SEQ_362	NAMP	0.03
LENGTH_55_SEQ_363	NAMP	0.03
LENGTH_55_SEQ_364	NAMP	0.05
LENGTH_55_SEQ_365	NAMP	0.05
LENGTH_55_SEQ_366	NAMP	0.09
LENGTH_55_SEQ_367	NAMP	0.10
LENGTH_55_SEQ_368	NAMP	0.04
LENGTH_55_SEQ_369	NAMP	0.02
LENGTH_55_SEQ_370	NAMP	0.03
LENGTH_55_SEQ_371	NAMP	0.05
LENGTH_55_SEQ_372	NAMP	0.02
LENGTH_55_SEQ_373	NAMP	0.03
LENGTH_55_SEQ_374	NAMP	0.03
LENGTH_55_SEQ_375	NAMP	0.02
LENGTH_55_SEQ_376	NAMP	0.02
LENGTH_55_SEQ_377	NAMP	0.03
LENGTH_55_SEQ_378	NAMP	0.02
LENGTH_55_SEQ_379	NAMP	0.08
LENGTH_55_SEQ_380	NAMP	0.09
LENGTH_55_SEQ_381	NAMP	0.07
LENGTH_55_SEQ_382	NAMP	0.04
LENGTH_55_SEQ_383	NAMP	0.03
LENGTH_55_SEQ_384	NAMP	0.04
LENGTH_55_SEQ_385	NAMP	0.02
LENGTH_55_SEQ_386	NAMP	0.04
LENGTH_55_SEQ_387	NAMP	0.03
LENGTH_55_SEQ_388	NAMP	0.07
LENGTH_55_SEQ_389	NAMP	0.04
LENGTH_55_SEQ_390	NAMP	0.09
LENGTH_55_SEQ_391	NAMP	0.10
LENGTH_55_SEQ_392	NAMP	0.02
LENGTH_55_SEQ_393	NAMP	0.03
LENGTH_55_SEQ_394	NAMP	0.06
LENGTH_55_SEQ_395	NAMP	0.02
LENGTH_55_SEQ_396	NAMP	0.02
LENGTH_55_SEQ_397	NAMP	0.02
LENGTH_55_SEQ_398	NAMP	0.01
LENGTH_55_SEQ_399	NAMP	0.02
LENGTH_55_SEQ_400	NAMP	0.03
LENGTH_55_SEQ_401	NAMP	0.04
LENGTH_55_SEQ_402	NAMP	0.02
LENGTH_55_SEQ_403	NAMP	0.02
LENGTH_55_SEQ_404	NAMP	0.02
LENGTH_55_SEQ_405	NAMP	0.04
LENGTH_55_SEQ_406	NAMP	0.04
LENGTH_55_SEQ_407	NAMP	0.01
LENGTH_55_SEQ_408	NAMP	0.03
LENGTH_55_SEQ_409	NAMP	0.04
LENGTH_55_SEQ_410	NAMP	0.05
LENGTH_55_SEQ_411	NAMP	0.03
LENGTH_55_SEQ_412	NAMP	0.03
LENGTH_55_SEQ_413	AMP	0.65
LENGTH_55_SEQ_414	NAMP	0.07
LENGTH_55_SEQ_415	NAMP	0.03
LENGTH_55_SEQ_416	NAMP	0.04
LENGTH_55_SEQ_417	NAMP	0.04
LENGTH_55_SEQ_418	NAMP	0.03
LENGTH_55_SEQ_419	NAMP	0.03
LENGTH_55_SEQ_420	NAMP	0.08
LENGTH_55_SEQ_421	NAMP	0.05
LENGTH_55_SEQ_422	NAMP	0.02
LENGTH_55_SEQ_423	NAMP	0.02
LENGTH_55_SEQ_424	NAMP	0.07
LENGTH_55_SEQ_425	NAMP	0.11
LENGTH_55_SEQ_426	NAMP	0.05
LENGTH_55_SEQ_427	NAMP	0.04
LENGTH_55_SEQ_428	NAMP	0.02
LENGTH_55_SEQ_429	NAMP	0.03
LENGTH_55_SEQ_430	NAMP	0.01
LENGTH_55_SEQ_431	NAMP	0.03
LENGTH_55_SEQ_432	NAMP	0.03
LENGTH_55_SEQ_433	NAMP	0.05
LENGTH_55_SEQ_434	NAMP	0.04
LENGTH_55_SEQ_435	NAMP	0.03
LENGTH_55_SEQ_436	NAMP	0.02
LENGTH_55_SEQ_437	NAMP	0.08
LENGTH_55_SEQ_438	NAMP	0.02
LENGTH_55_SEQ_439	NAMP	0.02
LENGTH_55_SEQ_440	NAMP	0.02
LENGTH_55_SEQ_441	NAMP	0.02
LENGTH_55_SEQ_442	NAMP	0.04
LENGTH_55_SEQ_443	NAMP	0.02
LENGTH_55_SEQ_444	NAMP	0.04
LENGTH_55_SEQ_445	NAMP	0.05
LENGTH_55_SEQ_446	NAMP	0.02
LENGTH_55_SEQ_447	NAMP	0.04
LENGTH_55_SEQ_448	NAMP	0.05
LENGTH_55_SEQ_449	NAMP	0.02
LENGTH_55_SEQ_450	NAMP	0.02
LENGTH_55_SEQ_451	NAMP	0.09
LENGTH_55_SEQ_452	NAMP	0.11
LENGTH_55_SEQ_453	NAMP	0.02
LENGTH_55_SEQ_454	NAMP	0.01
LENGTH_55_SEQ_455	NAMP	0.02
LENGTH_55_SEQ_456	NAMP	0.04
LENGTH_55_SEQ_457	NAMP	0.03
LENGTH_55_SEQ_458	NAMP	0.08
LENGTH_55_SEQ_459	NAMP	0.04
LENGTH_55_SEQ_460	NAMP	0.07
LENGTH_55_SEQ_461	NAMP	0.02
LENGTH_55_SEQ_462	NAMP	0.02
LENGTH_55_SEQ_463	NAMP	0.03
LENGTH_55_SEQ_464	NAMP	0.03
LENGTH_55_SEQ_465	NAMP	0.03
LENGTH_55_SEQ_466	NAMP	0.07
LENGTH_55_SEQ_467	NAMP	0.02
LENGTH_55_SEQ_468	NAMP	0.02
LENGTH_55_SEQ_469	NAMP	0.02
LENGTH_55_SEQ_470	NAMP	0.11
LENGTH_55_SEQ_471	NAMP	0.05
LENGTH_55_SEQ_472	NAMP	0.02
LENGTH_55_SEQ_473	NAMP	0.03
LENGTH_55_SEQ_474	NAMP	0.02
LENGTH_55_SEQ_475	NAMP	0.02
LENGTH_55_SEQ_476	NAMP	0.05
LENGTH_55_SEQ_477	NAMP	0.04
LENGTH_55_SEQ_478	NAMP	0.03
LENGTH_55_SEQ_479	NAMP	0.02
LENGTH_55_SEQ_480	NAMP	0.08
LENGTH_55_SEQ_481	NAMP	0.04
LENGTH_55_SEQ_482	NAMP	0.04
LENGTH_55_SEQ_483	NAMP	0.02
LENGTH_55_SEQ_484	NAMP	0.02
LENGTH_55_SEQ_485	NAMP	0.04
LENGTH_55_SEQ_486	NAMP	0.02
LENGTH_55_SEQ_487	NAMP	0.06
LENGTH_55_SEQ_488	NAMP	0.04
LENGTH_55_SEQ_489	NAMP	0.01
LENGTH_55_SEQ_490	NAMP	0.07
LENGTH_55_SEQ_491	NAMP	0.02
LENGTH_55_SEQ_492	NAMP	0.04
LENGTH_55_SEQ_493	NAMP	0.02
LENGTH_55_SEQ_494	NAMP	0.03
LENGTH_55_SEQ_495	NAMP	0.02
LENGTH_55_SEQ_496	NAMP	0.03
LENGTH_55_SEQ_497	NAMP	0.02
LENGTH_55_SEQ_498	NAMP	0.02
LENGTH_55_SEQ_499	NAMP	0.05
LENGTH_55_SEQ_500	NAMP	0.04
LENGTH_55_SEQ_501	NAMP	0.01
LENGTH_55_SEQ_502	NAMP	0.09
LENGTH_55_SEQ_503	NAMP	0.03
LENGTH_55_SEQ_504	NAMP	0.02
LENGTH_55_SEQ_505	NAMP	0.02
LENGTH_55_SEQ_506	NAMP	0.05
LENGTH_55_SEQ_507	NAMP	0.03
LENGTH_55_SEQ_508	NAMP	0.14
LENGTH_55_SEQ_509	NAMP	0.03
LENGTH_55_SEQ_510	NAMP	0.13
LENGTH_55_SEQ_511	NAMP	0.01
LENGTH_55_SEQ_512	NAMP	0.09
LENGTH_55_SEQ_513	NAMP	0.08
LENGTH_55_SEQ_514	NAMP	0.07
LENGTH_55_SEQ_515	NAMP	0.01
LENGTH_55_SEQ_516	NAMP	0.08
LENGTH_55_SEQ_517	NAMP	0.02
LENGTH_55_SEQ_518	NAMP	0.02
